"PI","YEAR","SITE","TRANSECT","Sampled","Should Be"
"Byrnes",2014,"Baker North","3",98.75,100
"Byrnes",2014,"Baker North","4",98.75,100
"Byrnes",2014,"Baker South","2",96.25,100
"Byrnes",2014,"Calf Island","3",98.75,100
"Byrnes",2014,"Little Brewster","1",75,100
"Byrnes",2014,"NE Appledore","Devil's Dance Floor",97.5,100
"Byrnes",2015,"NW Appledore","Magic 8 Ball",112.5,100
"Byrnes",2016,"Baker South","4",77.5,100
"Byrnes",2016,"NW Appledore","Magic 8 Ball",102.5,100
"Grabowski",2015,"Pumphouse Beach","1",98.75,100
"Grabowski",2016,"Canoe Beach","2",96.25,100
"Humphries",2016,"Fort Weatherill","3",80,100
